run,run_label,split,fold,metric,n_rows,n_valid_pairs,n_valid_dates,mean_ic,median_ic,min_ic,max_ic
jo.base,base,oos,15,h6,49216,48448,757,0.0387183563639,0.0436355311355,-0.357051282051,0.439148351648
jo.base,base,oos,15,h9,49216,48064,751,0.0519963158674,0.0618825764987,-0.391171959168,0.441114520358
jo.base,base,oos,16,blend,49216,48064,751,0.0744591064338,0.0692443374226,-0.270194448343,0.471843084667
jo.base,base,oos,16,h6,49216,48448,757,0.072629209188,0.0727106227106,-0.316117216117,0.45521978022
jo.base,base,oos,16,h9,49216,48064,751,0.0581448178985,0.0527472527473,-0.294047619048,0.426923076923
jo.base,base,oos,17,blend,47678,46562,751,0.0689641125452,0.0689481441797,-0.362133027821,0.498142162481
jo.base,base,oos,17,h6,47678,46934,757,0.058135786657,0.0509959959346,-0.373621118159,0.449069527335
jo.base,base,oos,17,h9,47678,46562,751,0.065984628421,0.0565838180857,-0.311223590441,0.488957719524
jo.base,base,oos,18,blend,50654,49538,799,0.0282692216877,0.045589068731,-0.407528683086,0.477265285893
jo.base,base,oos,18,h6,50654,49910,805,0.0317785457252,0.0402659212813,-0.458789755987,0.42036211629
jo.base,base,oos,18,h9,50654,49538,799,0.0177542758949,0.0341215280401,-0.408627332477,0.438291657223
jo.base,base,oos,19,blend,45763,44629,751,0.0282140304549,0.0304305887667,-0.407074472016,0.40230624244
jo.base,base,oos,19,h6,45763,45007,757,0.0343049378152,0.0356516656926,-0.427352425482,0.503682057276
jo.base,base,oos,19,h9,45763,44629,751,0.0124450996445,0.00987726475745,-0.39479836353,0.434248977206
jo.base,base,oos,20,blend,52288,51136,799,0.0388243006168,0.0314897517237,-0.348762394704,0.500354998071
jo.base,base,oos,20,h6,52288,51520,805,0.0311494095966,0.0169871794872,-0.341163003663,0.55728021978
jo.base,base,oos,20,h9,52288,51136,799,0.0397951078959,0.0361263736264,-0.393864468864,0.461538461538
jo.base,base,oos,21,blend,47678,46562,751,0.0052456743984,0.00601946883788,-0.435049806727,0.498085546503
jo.base,base,oos,21,h6,47678,46934,757,0.0269968022263,0.0322077006371,-0.3960867266,0.509909093198
